PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;24;10;28079024_10_47;2018;12;29;00014;V;00015;V;00011;V;00010;V;00010;V;00010;V;00012;V;00011;V;00009;V;00011;V;00017;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;12;28079024_12_8;2018;12;29;00056;V;00057;V;00041;V;00030;V;00024;V;00022;V;00018;V;00019;V;00025;V;00032;V;00039;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;14;28079024_14_6;2018;12;29;04.77;V;03.71;V;02.96;V;05.53;V;06.16;V;05.76;V;09.41;V;05.03;V;04.37;V;05.39;V;11.30;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;20;28079024_20_59;2018;12;29;001.7;V;002.0;V;001.5;V;001.0;V;001.1;V;000.9;V;001.0;V;000.8;V;000.9;V;001.0;V;000.9;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;30;28079024_30_59;2018;12;29;000.7;V;000.7;V;000.6;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;35;28079024_35_59;2018;12;29;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;42;28079024_42_2;2018;12;29;01.28;V;01.33;V;01.33;V;01.33;V;01.31;V;01.30;V;01.27;V;01.28;V;01.29;V;01.29;V;01.28;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;43;28079024_43_2;2018;12;29;01.19;V;01.24;V;01.25;V;01.25;V;01.22;V;01.21;V;01.20;V;01.20;V;01.20;V;01.21;V;01.21;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;44;28079024_44_2;2018;12;29;00.09;V;00.09;V;00.08;V;00.08;V;00.09;V;00.08;V;00.07;V;00.08;V;00.09;V;00.08;V;00.08;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;7;28079027_7_8;2018;12;29;00005;V;00003;V;00004;V;00002;V;00004;V;00007;V;00011;V;00015;V;00018;V;00038;V;00021;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;8;28079027_8_8;2018;12;29;00040;V;00035;V;00035;V;00024;V;00025;V;00028;V;00031;V;00038;V;00037;V;00046;V;00031;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;12;28079027_12_8;2018;12;29;00047;V;00039;V;00042;V;00028;V;00031;V;00039;V;00048;V;00061;V;00065;V;00104;V;00064;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;14;28079027_14_6;2018;12;29;25.01;V;21.41;V;12.02;V;14.70;V;14.96;V;14.80;V;10.33;V;06.71;V;05.03;V;07.58;V;17.31;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;1;28079035_1_38;2018;12;29;00013;V;00013;V;00012;V;00013;V;00014;V;00014;V;00012;V;00013;V;00013;V;00014;V;00016;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;6;28079035_6_48;2018;12;29;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;7;28079035_7_8;2018;12;29;00010;V;00024;V;00029;V;00053;V;00052;V;00083;V;00046;V;00050;V;00050;V;00060;V;00051;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;8;28079035_8_8;2018;12;29;00041;V;00049;V;00041;V;00040;V;00035;V;00035;V;00040;V;00043;V;00043;V;00046;V;00046;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;12;28079035_12_8;2018;12;29;00056;V;00085;V;00086;V;00121;V;00116;V;00162;V;00110;V;00120;V;00119;V;00138;V;00124;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;14;28079035_14_6;2018;12;29;26.63;V;16.08;V;15.61;V;07.01;V;06.61;V;07.27;V;17.08;V;11.46;V;12.88;V;13.81;V;20.64;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;1;28079036_1_38;2018;12;29;00022;V;00021;V;00009;V;00007;V;00006;V;00007;V;00013;V;00024;V;00032;V;00064;V;00067;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;6;28079036_6_48;2018;12;29;000.4;V;000.4;V;000.3;V;000.3;V;000.2;V;000.3;V;000.5;V;000.5;V;000.5;V;001.5;V;001.0;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;7;28079036_7_8;2018;12;29;00008;V;00004;V;00007;V;00005;V;00005;V;00004;V;00003;V;00006;V;00015;V;00021;V;00014;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;8;28079036_8_8;2018;12;29;00037;V;00032;V;00045;V;00039;V;00022;V;00021;V;00026;V;00031;V;00038;V;00041;V;00034;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;10;28079036_10_47;2018;12;29;00015;V;00011;V;00010;V;00011;V;00012;V;00014;V;00026;V;00023;V;00017;V;00016;V;00021;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;12;28079036_12_8;2018;12;29;00049;V;00038;V;00056;V;00047;V;00030;V;00027;V;00031;V;00040;V;00062;V;00073;V;00056;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;1;28079038_1_38;2018;12;29;00007;V;00008;V;00007;V;00008;V;00010;V;00008;V;00008;V;00007;V;00008;V;00008;V;00008;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;7;28079038_7_8;2018;12;29;00005;V;00006;V;00010;V;00031;V;00016;V;00006;V;00003;V;00007;V;00014;V;00015;V;00024;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;8;28079038_8_8;2018;12;29;00028;V;00033;V;00042;V;00052;V;00049;V;00032;V;00019;V;00024;V;00041;V;00033;V;00039;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;9;28079038_9_47;2018;12;29;00005;V;00005;V;00006;V;00012;V;00010;V;00007;V;00004;V;00005;V;00005;V;00008;V;00009;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;10;28079038_10_47;2018;12;29;00012;V;00010;V;00011;V;00018;V;00018;V;00011;V;00008;V;00009;V;00011;V;00013;V;00015;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;12;28079038_12_8;2018;12;29;00035;V;00043;V;00058;V;00100;V;00073;V;00042;V;00025;V;00034;V;00063;V;00056;V;00076;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;20;28079038_20_59;2018;12;29;001.2;V;001.2;V;001.1;V;002.0;V;003.5;V;002.6;V;001.4;V;000.9;V;001.0;V;001.3;V;001.6;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;30;28079038_30_59;2018;12;29;000.4;V;000.4;V;000.4;V;000.5;V;000.6;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;35;28079038_35_59;2018;12;29;000.3;V;000.3;V;000.3;V;000.4;V;000.6;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;39;6;28079039_6_48;2018;12;29;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.6;V;000.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;39;7;28079039_7_8;2018;12;29;00028;V;00033;V;00045;V;00033;V;00017;V;00010;V;00011;V;00005;V;00044;V;00085;V;00032;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;39;8;28079039_8_8;2018;12;29;00054;V;00055;V;00051;V;00047;V;00049;V;00039;V;00032;V;00043;V;00049;V;00057;V;00043;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;39;12;28079039_12_8;2018;12;29;00097;V;00106;V;00120;V;00097;V;00075;V;00053;V;00049;V;00050;V;00117;V;00187;V;00092;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
